id,image,part,within,src_cls,tgt_cls,src_model,tgt_model,dist_to_center,dist_to_pam,cluster_idx,num_cluster
53,target_34.JPEG,head,True,animal,animal,hellenic hound,domestic pig,2.1276796,33.67862823809782,0,1
53,target_34.JPEG,knee,True,animal,animal,hellenic hound,domestic pig,0.87430686,17.84656829757475,0,1
53,target_35.JPEG,head,True,animal,animal,hellenic hound,domestic pig,8.470178,8.902246907382429,0,1
53,target_35.JPEG,spine,True,animal,animal,hellenic hound,domestic pig,14.138999,25.544079548889602,0,1
53,target_36.JPEG,knee,True,animal,animal,hellenic hound,domestic pig,0.48174965,18.560711193270585,0,1
53,target_36.JPEG,spine,True,animal,animal,hellenic hound,domestic pig,7.4003754,12.020815280171307,0,1
53,target_37.JPEG,head,True,animal,animal,african elephant,horse,5.7459254,15.700318468107582,0,1
53,target_37.JPEG,knee,True,animal,animal,african elephant,horse,4.2462454,26.23451924468981,0,1
53,target_38.JPEG,head,True,animal,animal,african elephant,horse,2.804738,13.124404748406688,0,1
53,target_38.JPEG,spine,True,animal,animal,african elephant,horse,4.792964,9.513148795220223,0,1
53,target_39.JPEG,knee,True,animal,animal,african elephant,horse,1.11384,23.43608329051593,0,1
53,target_39.JPEG,spine,True,animal,animal,african elephant,horse,2.3537235,3.5355339059327378,0,1
53,target_40.JPEG,head,True,animal,animal,camel,horse,2.8011138,2.9154759474226504,0,1
53,target_40.JPEG,knee,True,animal,animal,camel,horse,1.1305408,27.65863337187866,0,1
53,target_41.JPEG,head,True,animal,animal,camel,horse,11.734568,12.349089035228468,0,1
53,target_41.JPEG,spine,True,animal,animal,camel,horse,4.6709576,3.2015621187164243,0,1
53,target_42.JPEG,knee,True,animal,animal,camel,horse,6.9951153,32.01562118716424,0,1
53,target_42.JPEG,spine,True,animal,animal,camel,horse,4.6670895,4.6097722286464435,0,1
53,target_43.JPEG,head,True,animal,animal,celtic wolfhound,horse,4.07384,2.9154759474226504,0,1
53,target_43.JPEG,knee,True,animal,animal,celtic wolfhound,horse,1.7896578,16.28649747490233,0,1
53,target_44.JPEG,head,True,animal,animal,celtic wolfhound,horse,4.3322163,4.716990566028302,0,1
53,target_44.JPEG,spine,True,animal,animal,celtic wolfhound,horse,1.4916368,3.905124837953327,0,1
53,target_45.JPEG,knee,True,animal,animal,celtic wolfhound,horse,0.41962036,17.240939649566666,0,1
53,target_45.JPEG,spine,True,animal,animal,celtic wolfhound,horse,2.5386918,0.5,0,1
53,target_46.JPEG,head,True,animal,animal,hellenic hound,horse,1.9466429,3.0,0,1
53,target_46.JPEG,knee,True,animal,animal,hellenic hound,horse,0.91552496,13.124404748406688,0,1
53,target_47.JPEG,head,True,animal,animal,hellenic hound,horse,9.547052,12.90348790056394,0,1
53,target_47.JPEG,spine,True,animal,animal,hellenic hound,horse,4.84949,14.916433890176299,0,1
53,target_48.JPEG,knee,True,animal,animal,hellenic hound,horse,2.8154554,15.787653403846944,0,1
53,target_48.JPEG,spine,True,animal,animal,hellenic hound,horse,1.5367719,19.525624189766635,0,1
53,target_49.JPEG,back,True,chair,chair,1b7bef12c554c1244c686b8271245d1b,6e92bdda1bca7b72f9a4f3015fbf70,1.2351655,26.1725046566048,0,1
53,target_49.JPEG,leg,True,chair,chair,1b7bef12c554c1244c686b8271245d1b,6e92bdda1bca7b72f9a4f3015fbf70,22.606697,32.515380975778214,0,1
